"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,3.254674
0,2,9.100459
0,3,15.01664
0,4,20.72619
0,5,26.20118
0,6,31.42553
0,7,36.38365
0,8,41.06707
0,9,45.47625
0,10,49.6188
0,11,50.25272
0,12,48.05725
0,13,45.57027
0,14,43.08635
0,15,40.65089
0,18,33.9493
0,21,28.53837
0,24,24.43384
0,27,21.40511
0,30,19.19228
0,33,17.57458
0,36,16.3822
0,39,15.49047
0,42,14.8101
0,45,14.2781
0,48,13.85028
0,51,13.49587
0,54,13.19349
0,57,12.92826
0,60,12.68981
0,63,12.47095
0,66,12.26664
0,69,12.07335
0,72,11.88855
0,75,11.71047
0,78,11.53789
0,81,11.36994
0,84,11.20601
0,87,11.0456
0,90,10.88833
0,93,10.73395
0,96,10.58222
0,99,10.43301
0,102,10.28622
0,105,10.14177
0,108,9.99957
0,111,9.859557
0,114,9.721652
0,117,9.585803
0,120,9.451961
0,123,9.320086
0,126,9.190145
0,129,9.062101
0,132,8.935919
0,135,8.811567
0,138,8.689002
0,141,8.56821
0,144,8.449142
0,147,8.331775
0,150,8.216084
0,153,8.102039
0,156,7.989619
0,159,7.878799
0,162,7.769556
0,165,7.661867
0,168,7.555709
0,171,7.451057
0,174,7.347889
0,177,7.246186
0,180,7.145924
0,183,7.047077
0,186,6.949622
0,189,6.853551
0,192,6.758833
0,195,6.665447
0,198,6.573374
0,201,6.482601
0,204,6.393106
0,207,6.304867
0,210,6.21787
0,213,6.132097
0,216,6.047531
0,219,5.964156
0,222,5.881952
0,225,5.800904
0,228,5.720996
0,231,5.642211
0,234,5.564533
0,237,5.487945
0,240,5.412432
0,243,5.337977
0,246,5.264568
0,249,5.192187
0,252,5.12082
0,255,5.050453
0,258,4.981071
0,261,4.912662
0,264,4.845211
0,267,4.778703
0,270,4.713127
0,273,4.648469
0,276,4.584716
0,279,4.521856
0,282,4.459874
0,285,4.39876
0,288,4.338499
0,291,4.279081
0,294,4.220494
0,297,4.162724
0,300,4.105762
0,303,4.049595
0,306,3.994212
0,309,3.939603
0,312,3.885755
0,315,3.832659
0,318,3.780304
0,321,3.728679
0,324,3.677774
0,327,3.627578
0,330,3.578083
0,333,3.529277
0,336,3.481151
0,339,3.433695
0,342,3.386901
0,345,3.340758
0,348,3.295257
0,351,3.25039
0,354,3.206147
0,357,3.162519
0,360,3.119499
0,363,3.077076
0,366,3.035244
0,369,2.993992
0,372,2.953314
0,375,2.913202
0,378,2.873646
0,381,2.83464
0,384,2.796175
0,387,2.758244
0,390,2.72084
0,393,2.683955
0,396,2.647581
0,399,2.611712
0,402,2.57634
0,405,2.541459
0,408,2.507061
0,411,2.47314
0,414,2.439688
0,417,2.4067
0,420,2.374169
0,423,2.342088
0,426,2.310451
0,429,2.279252
0,432,2.248484
0,435,2.218142
0,438,2.188219
0,441,2.15871
0,444,2.129609
0,447,2.10091
0,450,2.072608
0,453,2.044696
0,456,2.01717
0,459,1.990023
0,462,1.963251
0,465,1.936848
0,468,1.910809
0,471,1.885129
0,474,1.859804
0,477,1.834827
0,480,1.810195
0,483,1.785902
0,486,1.761943
0,489,1.738314
0,492,1.71501
0,495,1.692027
0,498,1.669359
0,501,1.647004
0,504,1.624956
0,507,1.603211
0,510,1.581764
0,513,1.560613
0,516,1.539751
0,519,1.519176
0,522,1.498883
0,525,1.478869
0,528,1.459129
0,531,1.43966
0,534,1.420458
0,537,1.401519
0,540,1.382839
0,543,1.364415
0,546,1.346244
0,549,1.328321
0,552,1.310644
0,555,1.293208
0,558,1.276011
0,561,1.259049
0,564,1.242319
0,567,1.225818
0,570,1.209542
0,573,1.193488
0,576,1.177654
0,579,1.162035
0,582,1.14663
0,585,1.131435
0,588,1.116447
0,591,1.101664
0,594,1.087082
0,597,1.072698
0,600,1.058511
0,603,1.044517
0,606,1.030714
0,609,1.017098
0,612,1.003668
0,615,0.9904197
0,618,0.977352
0,621,0.9644618
0,624,0.9517468
0,627,0.9392047
0,630,0.9268329
0,633,0.9146291
0,636,0.9025909
0,639,0.890716
0,642,0.8790021
0,645,0.8674471
0,648,0.8560486
0,651,0.8448045
0,654,0.8337126
0,657,0.8227711
0,660,0.8119777
0,663,0.8013304
0,666,0.7908271
0,669,0.7804658
0,672,0.7702446
0,675,0.7601615
0,678,0.7502146
0,681,0.740402
0,684,0.7307219
0,687,0.7211724
0,690,0.7117518
0,693,0.7024583
0,696,0.6932901
0,699,0.6842454
0,702,0.6753227
0,705,0.6665201
0,708,0.657836
0,711,0.6492687
0,714,0.6408167
0,717,0.6324784
0,720,0.6242523
0,723,0.6161367
0,726,0.6081302
0,729,0.6002312
0,732,0.5924383
0,735,0.5847501
0,738,0.5771649
0,741,0.5696815
0,744,0.5622984
0,747,0.5550143
0,750,0.5478277
0,753,0.5407375
0,756,0.5337422
0,759,0.5268406
0,762,0.5200312
0,765,0.513313
0,768,0.5066845
0,771,0.5001447
0,774,0.4936922
0,777,0.4873259
0,780,0.4810445
0,783,0.474847
0,786,0.4687323
0,789,0.4626991
0,792,0.4567463
0,795,0.4508728
0,798,0.4450775
0,801,0.4393595
0,804,0.4337175
0,807,0.4281505
0,810,0.4226576
0,813,0.4172378
0,816,0.41189
0,819,0.4066133
0,822,0.4014066
0,825,0.3962691
0,828,0.3911997
0,831,0.3861976
0,834,0.3812618
0,837,0.3763914
0,840,0.3715855
0,843,0.3668433
0,846,0.3621638
0,849,0.3575464
0,852,0.35299
0,855,0.3484939
0,858,0.3440572
0,861,0.3396791
0,864,0.3353588
0,867,0.3310956
0,870,0.3268886
0,873,0.3227371
0,876,0.3186404
0,879,0.3145977
0,882,0.3106082
0,885,0.3066714
0,888,0.3027863
0,891,0.2989524
0,894,0.2951689
0,897,0.2914351
0,900,0.2877504
0,903,0.2841142
0,906,0.2805256
0,909,0.2769842
0,912,0.2734893
0,915,0.2700402
0,918,0.2666364
0,921,0.2632772
0,924,0.2599619
0,927,0.2566901
0,930,0.2534611
0,933,0.2502744
0,936,0.2471292
0,939,0.2440253
0,942,0.2409619
0,945,0.2379386
0,948,0.2349547
0,951,0.2320097
0,954,0.2291032
0,957,0.2262345
0,960,0.2234033
0,963,0.2206089
0,966,0.2178509
0,969,0.2151288
0,972,0.2124421
0,975,0.2097904
0,978,0.2071732
0,981,0.20459
0,984,0.2020403
0,987,0.1995237
0,990,0.1970398
0,993,0.1945881
0,996,0.1921681
0,999,0.1897796
0,1002,0.187422
0,1005,0.1850949
0,1008,0.1827979
0,1011,0.1805307
0,1014,0.1782928
0,1017,0.1760837
0,1020,0.1739033
0,1023,0.171751
0,1026,0.1696264
0,1029,0.1675293
0,1032,0.1654592
0,1035,0.1634158
0,1038,0.1613988
0,1041,0.1594077
0,1044,0.1574422
0,1047,0.155502
0,1050,0.1535868
0,1053,0.1516962
0,1056,0.1498299
0,1059,0.1479875
0,1062,0.1461688
0,1065,0.1443735
0,1068,0.1426011
0,1071,0.1408515
0,1074,0.1391243
0,1077,0.1374193
0,1080,0.135736
0,1083,0.1340743
0,1086,0.1324338
0,1089,0.1308143
0,1092,0.1292155
0,1095,0.1276371
0,1098,0.1260789
0,1101,0.1245405
0,1104,0.1230218
0,1107,0.1215224
0,1110,0.1200421
0,1113,0.1185807
0,1116,0.1171379
0,1119,0.1157134
0,1122,0.114307
0,1125,0.1129185
0,1128,0.1115477
0,1131,0.1101942
0,1134,0.108858
0,1137,0.1075386
0,1140,0.1062361
0,1143,0.10495
0,1146,0.1036802
0,1149,0.1024264
0,1152,0.1011886
0,1155,0.09996636
0,1158,0.09875961
0,1161,0.09756811
0,1164,0.09639165
0,1167,0.09523004
0,1170,0.09408309
0,1173,0.0929506
0,1176,0.09183238
0,1179,0.09072825
0,1182,0.08963801
0,1185,0.08856149
0,1188,0.08749852
0,1191,0.08644892
0,1194,0.08541249
0,1197,0.0843891
0,1200,0.08337855
0,1203,0.08238067
0,1206,0.08139531
0,1209,0.0804223
0,1212,0.07946148
0,1215,0.07851268
0,1218,0.07757576
0,1221,0.07665056
0,1224,0.07573693
0,1227,0.07483472
0,1230,0.07394378
0,1233,0.07306395
0,1236,0.07219511
0,1239,0.0713371
0,1242,0.07048978
0,1245,0.06965301
0,1248,0.06882666
0,1251,0.06801059
0,1254,0.06720468
0,1257,0.06640879
0,1260,0.06562279
0,1263,0.06484655
0,1266,0.06407994
0,1269,0.06332285
0,1272,0.06257514
0,1275,0.06183669
0,1278,0.06110739
0,1281,0.06038712
0,1284,0.05967576
0,1287,0.0589732
0,1290,0.05827933
0,1293,0.05759403
0,1296,0.05691719
0,1299,0.0562487
0,1302,0.05558846
0,1305,0.05493636
0,1308,0.05429228
0,1311,0.05365614
0,1314,0.05302783
0,1317,0.05240726
0,1320,0.05179431
0,1323,0.0511889
0,1326,0.05059092
0,1329,0.05000028
0,1332,0.04941689
0,1335,0.04884065
0,1338,0.04827147
0,1341,0.04770927
0,1344,0.04715394
0,1347,0.04660542
0,1350,0.04606361
0,1353,0.04552841
0,1356,0.04499976
0,1359,0.04447756
0,1362,0.04396173
0,1365,0.0434522
0,1368,0.04294887
0,1371,0.04245168
0,1374,0.04196053
0,1377,0.04147537
0,1380,0.04099612
0,1383,0.04052269
0,1386,0.04005501
0,1389,0.03959301
0,1392,0.03913662
0,1395,0.03868577
0,1398,0.03824038
0,1401,0.03780039
0,1404,0.03736572
0,1407,0.03693632
0,1410,0.03651212
0,1413,0.03609305
0,1416,0.03567903
0,1419,0.03527002
0,1422,0.03486595
0,1425,0.03446676
0,1428,0.03407238
0,1431,0.03368274
0,1434,0.03329781
0,1437,0.0329175
0,1440,0.03254178
