"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
0,0,0,0
0,1,2.916897,0.03497861
0,2,8.561741,0.2272782
0,3,14.42683,0.5913677
0,4,20.15548,1.104736
0,5,25.69687,1.745448
0,6,31.03026,2.495406
0,7,36.13689,3.339433
0,8,41.00286,4.264482
0,9,45.62193,5.259201
0,10,49.99478,6.313696
0,11,51.21076,7.384367
0,12,49.46884,8.341387
0,13,47.28921,9.163787
0,14,45.04232,9.868444
0,15,42.79346,10.47241
0,18,36.37141,11.80764
0,21,30.91562,12.62403
0,24,26.5997,13.10033
0,27,23.30595,13.35316
0,30,20.83595,13.45814
0,33,18.99619,13.46478
0,36,17.62453,13.40582
0,39,16.59474,13.3033
0,42,15.81201,13.17215
0,45,15.2066,13.02252
0,48,14.72825,12.8614
0,51,14.34091,12.69361
0,54,14.01891,12.52246
0,57,13.74407,12.3502
0,60,13.50344,12.17841
0,63,13.28781,12.00815
0,66,13.09071,11.84011
0,69,12.90757,11.67474
0,72,12.73513,11.51233
0,75,12.57103,11.35305
0,78,12.41357,11.19697
0,81,12.26156,11.04413
0,84,12.11411,10.89449
0,87,11.97055,10.74802
0,90,11.8304,10.60466
0,93,11.69324,10.46434
0,96,11.55882,10.32697
0,99,11.42691,10.19247
0,102,11.29736,10.06075
0,105,11.17003,9.931713
0,108,11.0448,9.805283
0,111,10.92157,9.681372
0,114,10.80024,9.559896
0,117,10.68075,9.440776
0,120,10.56304,9.323933
0,123,10.44704,9.209291
0,126,10.3327,9.09678
0,129,10.21998,8.986328
0,132,10.10882,8.877869
0,135,9.999196,8.771338
0,138,9.891057,8.666677
0,141,9.784369,8.563824
0,144,9.679096,8.462725
0,147,9.575204,8.363325
0,150,9.472661,8.265574
0,153,9.371437,8.169421
0,156,9.271504,8.074821
0,159,9.172836,7.981727
0,162,9.075406,7.890098
0,165,8.979189,7.799891
0,168,8.884161,7.711068
0,171,8.790298,7.62359
0,174,8.697581,7.537422
0,177,8.605987,7.452528
0,180,8.515493,7.368877
0,183,8.426082,7.286436
0,186,8.337733,7.205174
0,189,8.250429,7.125063
0,192,8.16415,7.046074
0,195,8.07888,6.968182
0,198,7.994601,6.891358
0,201,7.911297,6.815579
0,204,7.828953,6.740823
0,207,7.747553,6.667064
0,210,7.667082,6.594282
0,213,7.587525,6.522455
0,216,7.50887,6.451563
0,219,7.431101,6.381587
0,222,7.354207,6.312507
0,225,7.278174,6.244306
0,228,7.202991,6.176966
0,231,7.128644,6.11047
0,234,7.055122,6.044803
0,237,6.982413,5.979948
0,240,6.910507,5.91589
0,243,6.839392,5.852615
0,246,6.769057,5.790109
0,249,6.699492,5.728358
0,252,6.630686,5.667348
0,255,6.56263,5.607068
0,258,6.495313,5.547504
0,261,6.428726,5.488645
0,264,6.362859,5.430478
0,267,6.297704,5.372993
0,270,6.233251,5.316179
0,273,6.169491,5.260025
0,276,6.106416,5.20452
0,279,6.044017,5.149654
0,282,5.982286,5.095419
0,285,5.921215,5.041804
0,288,5.860796,4.9888
0,291,5.801021,4.936398
0,294,5.741882,4.884589
0,297,5.683371,4.833365
0,300,5.625482,4.782718
0,303,5.568206,4.732638
0,306,5.511537,4.683119
0,309,5.455467,4.634153
0,312,5.399989,4.585732
0,315,5.345097,4.537848
0,318,5.290783,4.490495
0,321,5.237041,4.443665
0,324,5.183866,4.397352
0,327,5.131248,4.351547
0,330,5.079184,4.306246
0,333,5.027665,4.261441
0,336,4.976687,4.217127
